trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.7, 'e': 0.9801986733067553}",30,0,-190.151665625,"{0: 11, 1: 4, 2: 14, 3: 0, 4: 1}",0
2,False,"{'a': 0.7, 'e': 0.9607894391523232}",25,0,-183.62076573,"{0: 13, 1: 2, 2: 6, 3: 2, 4: 2}",0
3,False,"{'a': 0.7, 'e': 0.9417645335842487}",25,18,-2.37300907721,"{0: 5, 1: 2, 2: 0, 3: 0, 4: 0}",1
4,False,"{'a': 0.7, 'e': 0.9231163463866358}",20,0,-107.819011813,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
5,False,"{'a': 0.7, 'e': 0.9048374180359595}",20,3,-41.2299394478,"{0: 10, 1: 3, 2: 4, 3: 0, 4: 0}",1
6,False,"{'a': 0.7, 'e': 0.8869204367171575}",30,3,-80.4470916698,"{0: 19, 1: 1, 2: 6, 3: 0, 4: 1}",1
7,False,"{'a': 0.7, 'e': 0.8693582353988059}",20,0,-34.7231990877,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
8,False,"{'a': 0.7, 'e': 0.8521437889662113}",20,0,-70.6520705171,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
9,False,"{'a': 0.7, 'e': 0.835270211411272}",25,0,-71.3262594348,"{0: 17, 1: 4, 2: 3, 3: 0, 4: 1}",0
10,False,"{'a': 0.7, 'e': 0.8187307530779818}",30,0,-94.753158941,"{0: 18, 1: 6, 2: 5, 3: 0, 4: 1}",0
11,False,"{'a': 0.7, 'e': 0.8025187979624785}",20,0,-167.223346476,"{0: 9, 1: 1, 2: 7, 3: 1, 4: 2}",0
12,False,"{'a': 0.7, 'e': 0.7866278610665535}",30,0,-116.981076502,"{0: 20, 1: 4, 2: 3, 3: 1, 4: 2}",0
13,False,"{'a': 0.7, 'e': 0.7710515858035663}",20,2,-73.4452582958,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 1}",1
14,False,"{'a': 0.7, 'e': 0.7557837414557255}",25,6,-107.194950362,"{0: 9, 1: 4, 2: 4, 3: 1, 4: 1}",1
15,False,"{'a': 0.7, 'e': 0.7408182206817179}",25,0,-79.6084114462,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
16,False,"{'a': 0.7, 'e': 0.7261490370736909}",20,0,-58.8416442244,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
17,False,"{'a': 0.7, 'e': 0.7117703227626097}",20,0,-12.0541578118,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",1
18,False,"{'a': 0.7, 'e': 0.697676326071031}",25,0,-119.174175648,"{0: 19, 1: 2, 2: 1, 3: 0, 4: 3}",0
19,False,"{'a': 0.7, 'e': 0.6838614092123558}",20,0,1.70686956349,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
20,False,"{'a': 0.7, 'e': 0.6703200460356393}",25,0,-140.216437594,"{0: 15, 1: 1, 2: 6, 3: 1, 4: 2}",0
21,False,"{'a': 0.7, 'e': 0.6570468198150567}",20,0,-119.139790758,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
22,False,"{'a': 0.7, 'e': 0.6440364210831414}",20,5,-13.5186281052,"{0: 11, 1: 2, 2: 2, 3: 0, 4: 0}",1
23,False,"{'a': 0.7, 'e': 0.631283645506926}",20,4,6.91948321128,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
24,False,"{'a': 0.7, 'e': 0.6187833918061408}",20,13,5.876715119,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
25,False,"{'a': 0.7, 'e': 0.6065306597126334}",20,0,-153.261247091,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 3}",0
26,False,"{'a': 0.7, 'e': 0.5945205479701944}",30,14,-22.1236335092,"{0: 12, 1: 0, 2: 4, 3: 0, 4: 0}",1
27,False,"{'a': 0.7, 'e': 0.5827482523739896}",25,0,-35.1835776114,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
28,False,"{'a': 0.7, 'e': 0.5712090638488149}",25,0,-116.808648843,"{0: 15, 1: 2, 2: 5, 3: 2, 4: 1}",0
29,False,"{'a': 0.7, 'e': 0.559898366565402}",20,0,-32.0759234652,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
30,False,"{'a': 0.7, 'e': 0.5488116360940264}",20,0,-1.79147809486,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
31,False,"{'a': 0.7, 'e': 0.5379444375946745}",20,0,-56.6546947404,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
32,False,"{'a': 0.7, 'e': 0.5272924240430485}",35,15,15.6440240876,"{0: 17, 1: 3, 2: 0, 3: 0, 4: 0}",1
