trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-13.4084855516,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-89.7621714542,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-65.6082594523,"{0: 12, 1: 4, 2: 2, 3: 2, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-117.3507237,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",35,0,-210.04395147,"{0: 19, 1: 4, 2: 9, 3: 0, 4: 3}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-55.1746945239,"{0: 14, 1: 4, 2: 1, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-143.878284437,"{0: 13, 1: 4, 2: 6, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-130.796191481,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-117.104449437,"{0: 14, 1: 4, 2: 5, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-63.3283444611,"{0: 16, 1: 1, 2: 8, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-75.2250211292,"{0: 12, 1: 2, 2: 4, 3: 2, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",30,3,-182.880628665,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 3}",1
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-59.9049281753,"{0: 15, 1: 5, 2: 5, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,11,-27.5669929909,"{0: 5, 1: 1, 2: 3, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-126.369762206,"{0: 11, 1: 7, 2: 6, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",30,0,-141.19514842,"{0: 21, 1: 3, 2: 3, 3: 0, 4: 3}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-79.4173435718,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-77.3033964418,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-96.1515408773,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",30,0,-65.2682862792,"{0: 23, 1: 2, 2: 4, 3: 0, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-132.028580414,"{0: 17, 1: 0, 2: 5, 3: 1, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-78.4478871546,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-90.9994867546,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-113.448062522,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-79.907779275,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-113.30117876,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-178.041459492,"{0: 10, 1: 5, 2: 8, 3: 0, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-106.75708991,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-46.231097971,"{0: 11, 1: 6, 2: 3, 3: 0, 4: 0}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-32.7490242656,"{0: 18, 1: 3, 2: 4, 3: 0, 4: 0}",0
